record_id,year,state,district,season,crop_type,sowing_date,seed_variety,area_sown_hectares,irrigation_type,rainfall_mm,temperature_min_c,temperature_max_c,temperature_avg_c,humidity_pct,growing_season_days,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_type,soil_moisture_pct,previous_yield_tonnes_ha,yield_trend_pct_yoy,ndvi,yield_tonnes_per_hectare
AGRI-00022,2017,Karnataka,Kalaburagi,Kharif,Soybean,2017-07-02,NRC-37,0.52,Drip Irrigated,507.7,17.3,33,25.1,46.8,112,5.59,104.6,66.7,29.5,Black,44.9,1.42,-3.6,0.688,0.68
AGRI-00023,2018,Madhya Pradesh,Ujjain,Kharif,Cotton,2018-07-25,Bunny-Bt,5.72,Irrigated,635.1,18.3,33.1,26.2,68.3,168,6.66,89.9,48.1,50,Alluvial,22.1,1.88,10.9,0.604,1.46
AGRI-00024,2025,Gujarat,Ahmedabad,Kharif,Cotton,2025-06-23,Bt-Cotton,2.54,Rainfed,454.3,27.6,42.9,33.2,49.5,181,7.93,91.5,32.3,56.7,Black,25,2.29,8,0.756,1.39
AGRI-00025,2018,Punjab,Ludhiana,Kharif,Soybean,2018-06-28,JS-335,9.78,Irrigated,1289.2,14.1,28.9,21.8,66,107,7.77,179.6,30.9,49.1,Loamy,31.1,1.57,0.7,0.5,0.63
AGRI-00026,2025,Madhya Pradesh,Jabalpur,Kharif,Cotton,2025-07-10,RCH-2,9.49,Drip Irrigated,691.1,19.2,36,27.3,61.8,161,6.26,67.5,52.7,62.7,Sandy Loam,44.5,1.45,-15.8,0.685,1.17
AGRI-00027,2019,Maharashtra,Nashik,Rabi,Maize,2019-11-14,P-3396,0.42,Rainfed,1195,19.2,34.3,26.2,65.5,96,6.7,109,37.4,79.8,Sandy Loam,16.2,5.47,-1.3,0.61,1.21
AGRI-00028,2022,Punjab,Jalandhar,Rabi,Groundnut,2022-10-22,GG-20,4.38,Irrigated,477.5,18,35.9,26,66.2,107,6.41,117.7,52.9,46.7,Loamy,55.2,2.02,1.6,0.65,1.33
AGRI-00029,2017,Madhya Pradesh,Ujjain,Kharif,Cotton,2017-06-04,Bt-Cotton,15.75,Irrigated,590.3,16.8,31.8,24.5,55.8,187,7.03,41.3,57.8,45.8,Sandy Loam,35.8,2.53,9.6,0.776,1.41
AGRI-00030,2017,Karnataka,Belagavi,Kharif,Groundnut,2017-06-09,TG-37A,0.69,Irrigated,549.8,17.1,31.4,22.5,54.9,130,6.18,132.7,79.8,53.9,Sandy Loam,46.6,2.14,-1.9,0.479,1.56
AGRI-00031,2021,Punjab,Bathinda,Kharif,Cotton,2021-06-29,Bunny-Bt,0.74,Irrigated,651.3,23.4,36.4,29.2,59,155,6.89,65,63.9,53,Black,46.8,2.38,13.2,0.669,1.46
AGRI-00032,2025,Rajasthan,Udaipur,Kharif,Groundnut,2025-07-12,Kadiri-6,0.53,Irrigated,696.8,17.9,31,24,44.3,113,6.62,129.4,77.5,57.8,Red Loam,30.5,3.01,14.4,0.686,2.12
AGRI-00033,2017,Punjab,Amritsar,Kharif,Groundnut,2017-07-12,TG-37A,0.44,Irrigated,660.6,16.1,34,24.5,47.9,126,7.48,42.7,75.6,41.1,Red Loam,22.5,2.55,5.8,0.907,1.7
AGRI-00034,2019,Karnataka,Dharwad,Kharif,Rice,2019-06-10,BPT-5204,7.72,Irrigated,1111.5,21,33.4,28,79.3,134,7.59,140,64.4,61.9,Clay Loam,44.9,4.31,-7.9,0.555,2.05
AGRI-00035,2023,Karnataka,Belagavi,Kharif,Cotton,2023-06-27,Bunny-Bt,5.12,Irrigated,484.6,18.7,37.3,27.9,62.6,154,6.49,86.8,39.3,44.9,Alluvial,31.5,1.97,-7.6,0.821,1.51
AGRI-00036,2018,Gujarat,Banaskantha,Rabi,Wheat,2018-11-08,GW-322,0.81,Drip Irrigated,886.1,15.4,29.5,22.3,43.5,140,7.11,168.3,24.2,62.4,Clay Loam,42.7,3.73,-6.3,0.581,1.68
AGRI-00037,2021,Karnataka,Belagavi,Kharif,Rice,2021-06-28,Pusa-44,10.3,Irrigated,1038.5,23,34.8,28.8,61,122,6.57,176.4,49.6,72.2,Silty Loam,32.9,4.17,6.5,0.846,3.56
AGRI-00038,2017,Karnataka,Belagavi,Kharif,Rice,2017-07-24,Swarna,5.28,Irrigated,1178.5,18.9,34.1,28,91.3,146,5.45,107.7,47.5,69.6,Silty Loam,31.6,5.16,-1.2,0.529,2.9
AGRI-00039,2017,Karnataka,Mandya,Kharif,Soybean,2017-06-14,NRC-86,2.66,Irrigated,915.9,16.8,30.6,22.6,69,93,6.26,122,79.4,87.4,Black,51.1,2.12,-11.4,0.703,1.11
AGRI-00040,2024,Madhya Pradesh,Indore,Kharif,Cotton,2024-07-10,Bunny-Bt,11.84,Rainfed,612.7,20.7,36.8,29.5,75.3,190,7.26,121.5,46.5,58.4,Alluvial,38.3,2.32,-3.4,0.452,1.07
AGRI-00041,2025,Rajasthan,Jodhpur,Kharif,Groundnut,2025-07-08,Kadiri-6,6.6,Irrigated,726.1,23.9,36.5,30.5,63.1,118,8.05,120.7,48.2,76.4,Loamy,36.9,2.7,11,0.725,1.43
AGRI-00042,2017,Rajasthan,Kota,Rabi,Groundnut,2017-12-05,TG-37A,2.07,Irrigated,561.6,20.3,35.7,25.4,59.4,121,7.2,99.6,39.2,45.9,Red Loam,31.1,2.11,10.2,0.726,1.9
AGRI-00043,2025,Punjab,Bathinda,Kharif,Rice,2025-06-12,BPT-5204,1.22,Rainfed,1068.2,24.4,38.1,30.9,79.8,110,5.62,135.6,68.5,29.1,Clay,36.4,4.04,-5,0.585,2.81
AGRI-00044,2020,Punjab,Jalandhar,Kharif,Groundnut,2020-06-03,TG-37A,4.14,Irrigated,745.5,21.3,38.2,28,63.6,105,6.4,71.8,41.4,33.1,Loamy,32.5,1.35,6,0.679,1.56
AGRI-00045,2019,Madhya Pradesh,Jabalpur,Kharif,Groundnut,2019-07-20,Kadiri-6,1.85,Rainfed,1036.4,18,32.7,25.8,51.1,120,5.79,107.7,67.3,30.1,Sandy Loam,30.2,1.99,1.2,0.369,0.83
AGRI-00046,2021,Madhya Pradesh,Bhopal,Kharif,Soybean,2021-07-07,JS-335,21.97,Rainfed,894.2,19.6,30.9,25.4,75.1,98,7.64,198.1,69.7,78.7,Sandy Loam,29.9,1.36,6.8,0.817,1.18
AGRI-00047,2017,Maharashtra,Nashik,Rabi,Wheat,2017-11-01,HD-2967,7.13,Irrigated,255.6,14.9,30.5,20.1,57.3,132,6.49,107.8,26.2,72.9,Loamy,31.9,2.22,-4.2,0.8,1.98
AGRI-00048,2017,Karnataka,Kalaburagi,Rabi,Groundnut,2017-11-03,Kadiri-6,1.16,Irrigated,764.2,20.8,38.2,28,51.5,106,7.08,158,67.4,58.7,Red Loam,39.4,2.66,6.1,0.547,1.83
AGRI-00049,2024,Maharashtra,Nashik,Kharif,Rice,2024-06-17,Pusa-44,14.54,Irrigated,1567.1,19.8,34.3,28.4,67.8,138,7.11,94,55.2,36.6,Silty Loam,34.2,3.73,4.6,0.54,2.55
AGRI-00050,2019,Rajasthan,Bikaner,Kharif,Soybean,2019-07-13,NRC-86,0.41,Irrigated,772.9,16.8,33.8,25.9,70.1,122,6.89,66.1,93,39.9,Sandy Loam,37.8,1.6,4.8,0.817,1.42
AGRI-00051,2023,Rajasthan,Bikaner,Rabi,Wheat,2023-11-06,GW-322,6.64,Drip Irrigated,208.4,11.3,28.4,19.3,66.2,134,5.75,157.3,28,84.6,Clay Loam,47.9,3.72,-3,0.631,2.03
AGRI-00052,2022,Gujarat,Junagadh,Rabi,Maize,2022-11-23,P-3396,0.54,Rainfed,548.8,17.8,33.2,23.9,72.8,120,7.26,77.4,32.1,70.1,Silty Loam,31.1,4.14,-1.3,0.72,2.68
AGRI-00053,2020,Maharashtra,Nagpur,Kharif,Soybean,2020-07-27,JS-335,2.26,Drip Irrigated,827.4,23,36,28.9,74.1,113,6.2,90.4,48.4,96.1,Sandy Loam,45.4,1.73,14.1,0.669,1.51
AGRI-00054,2025,Punjab,Amritsar,Rabi,Wheat,2025-10-28,GW-322,0.74,Irrigated,549.3,15.3,32.3,23.8,71.5,125,6.64,57.9,71.9,104.2,Loamy,43.4,3.94,9,0.547,2.52
AGRI-00055,2023,Punjab,Ludhiana,Kharif,Rice,2023-07-16,Pusa-44,18.56,Irrigated,1396.3,16.6,32.9,22.8,60.4,114,6.26,25.6,24.3,76.5,Clay,41.6,3.8,-3.1,0.787,2.18
AGRI-00056,2024,Punjab,Ludhiana,Kharif,Cotton,2024-06-06,Bunny-Bt,3.97,Rainfed,815.5,22.1,39,29.5,54.3,165,7.46,67.4,70.3,52.8,Black,28.1,2.03,-7.8,0.584,1.14
AGRI-00057,2023,Madhya Pradesh,Jabalpur,Rabi,Wheat,2023-11-12,HD-3086,1.18,Rainfed,547.4,7.7,21.6,16.3,54.1,141,7.08,63.3,91.4,16.6,Clay Loam,32.7,2.42,7.5,0.567,1.71
AGRI-00058,2023,Karnataka,Belagavi,Kharif,Rice,2023-06-10,Swarna,1.54,Irrigated,1272.1,28.1,39.9,33.4,83,126,6.48,155.1,64.4,78.8,Silty Loam,36.4,3.23,1.7,0.754,2.88
AGRI-00059,2021,Gujarat,Ahmedabad,Rabi,Maize,2021-10-31,DHM-117,5.12,Irrigated,542.1,14.5,29.2,23.2,59.9,102,6.49,117,67.7,90.3,Sandy Loam,30.1,4.12,6.2,0.58,3.71
AGRI-00060,2021,Rajasthan,Kota,Kharif,Rice,2021-06-25,Swarna,8.83,Rainfed,1336,19.5,36.5,26.3,57.5,131,6.4,72.1,66.1,29.2,Clay,30.4,4.05,1.6,0.567,1.93
AGRI-00061,2024,Madhya Pradesh,Jabalpur,Kharif,Maize,2024-06-24,HQPM-1,14.98,Irrigated,613,15.3,33.3,23.8,59.5,112,7.25,139.7,23.6,40.5,Loamy,36.2,3.87,7.9,0.649,3.42
AGRI-00062,2024,Karnataka,Dharwad,Rabi,Wheat,2024-11-18,HD-2967,21.12,Rainfed,349.8,14.3,28.9,21.7,54.7,116,5.87,25,40.7,72.8,Loamy,16.7,3.42,3.1,0.64,1.51
AGRI-00063,2020,Gujarat,Surat,Rabi,Wheat,2020-11-30,HD-3086,1,Drip Irrigated,611.1,10.6,30.1,19.7,55.9,139,6.13,163.3,49.1,62.1,Loamy,21.6,3.98,-0.1,0.868,3.24
AGRI-00064,2019,Gujarat,Kheda,Kharif,Groundnut,2019-06-22,TG-37A,5.47,Irrigated,603.9,21.9,35.6,27.3,55.5,122,8.16,71.8,16.6,62.7,Sandy Loam,37.4,2.48,-9.6,0.682,0.92
AGRI-00065,2020,Gujarat,Kheda,Rabi,Wheat,2020-12-08,HD-3086,1.37,Irrigated,511.7,8.3,26.3,17,63.6,142,6.83,101.3,54.3,62.3,Loamy,48.6,5.2,4.9,0.654,2.63
AGRI-00066,2018,Madhya Pradesh,Ujjain,Kharif,Soybean,2018-06-16,JS-335,7.52,Drip Irrigated,772.5,18.6,34.4,24.6,76.2,96,6.95,105.9,38.9,77.5,Sandy Loam,45.6,1.5,2.8,0.93,1.69
AGRI-00067,2018,Punjab,Ludhiana,Kharif,Rice,2018-06-17,Swarna,18.63,Irrigated,1541.9,22.4,35.6,28.6,72.3,150,5.07,82.3,63.4,74.3,Silty Loam,40.6,4.08,-0.3,0.696,2.42
AGRI-00068,2024,Gujarat,Junagadh,Rabi,Wheat,2024-11-03,GW-322,2.33,Irrigated,584.2,15.7,26.8,21.3,51.6,132,7.72,116.2,84.6,55.6,Loamy,52.9,3.79,-12.5,0.584,1.76
AGRI-00069,2021,Karnataka,Kalaburagi,Kharif,Soybean,2021-06-04,NRC-37,2.04,Irrigated,883,16.4,31.9,23.5,77.9,105,7.33,136.1,69,99.1,Loamy,48.5,1.93,11.7,0.778,1.55
AGRI-00070,2018,Rajasthan,Jodhpur,Kharif,Groundnut,2018-06-21,TG-37A,0.96,Rainfed,425.6,15.7,27.5,21,43.8,117,6.85,149.2,66,15.1,Sandy Loam,17.9,2.33,12.1,0.677,1.17
AGRI-00071,2024,Gujarat,Banaskantha,Kharif,Soybean,2024-06-21,JS-335,0.97,Rainfed,657.4,20.3,33.6,25.9,76.2,123,7.29,101.4,84.7,58.8,Loamy,29.5,1.64,3.2,0.56,1.13
AGRI-00072,2025,Punjab,Patiala,Kharif,Groundnut,2025-07-18,Kadiri-6,3.18,Rainfed,542,16.9,32.2,23.8,73.5,139,7,87,46.8,69.3,Sandy Loam,29.3,2.46,3.3,0.733,1.39
AGRI-00073,2018,Karnataka,Kalaburagi,Rabi,Wheat,2018-11-17,HD-3086,3.71,Irrigated,844.7,7.8,24.6,16.8,49.9,132,7.05,75,25.8,45.7,Clay Loam,24.3,2.98,9.3,0.699,1.78
AGRI-00074,2018,Punjab,Bathinda,Rabi,Wheat,2018-12-11,GW-322,12.19,Irrigated,612.6,11.1,23.1,17.2,58.2,134,7.63,141.3,51.8,71.2,Clay Loam,43.4,3.53,1.2,0.533,2.39
AGRI-00075,2025,Karnataka,Mandya,Rabi,Maize,2025-11-30,HQPM-1,0.99,Irrigated,897,15.8,30.1,25,73.2,115,7.02,85,59.4,15.7,Silty Loam,39.8,4.36,-6.4,0.682,3.2
AGRI-00076,2019,Karnataka,Belagavi,Kharif,Cotton,2019-06-02,Bunny-Bt,19.14,Irrigated,808.9,16.9,34.4,26,73,190,7.8,158.1,64.3,45.8,Alluvial,41.6,1.69,-1.1,0.616,1.45
AGRI-00077,2018,Karnataka,Belagavi,Kharif,Soybean,2018-07-28,NRC-86,14.56,Drip Irrigated,693.7,18,30.7,23.9,83.5,105,6.75,130.1,60.6,70.9,Loamy,51.6,1.5,-4.7,0.644,1.04
AGRI-00078,2021,Rajasthan,Kota,Rabi,Wheat,2021-10-19,HD-3086,3.75,Rainfed,549.3,16.9,34.1,24.1,84.5,148,8.03,73.1,65.7,78.6,Loamy,26.2,3.15,-3.7,0.629,0.94
AGRI-00079,2022,Madhya Pradesh,Bhopal,Kharif,Cotton,2022-06-11,Bunny-Bt,1.58,Irrigated,908.5,16.9,33.6,26.2,52.2,189,7.05,152.5,52,23.3,Alluvial,31.6,2.23,1.3,0.516,1.61
AGRI-00080,2021,Gujarat,Kheda,Kharif,Rice,2021-06-09,BPT-5204,20.6,Rainfed,936.5,18.7,35.7,25.8,63,117,6.52,62,54.1,23.3,Silty Loam,39.8,4.1,-2.5,0.685,2.51
AGRI-00081,2021,Madhya Pradesh,Jabalpur,Kharif,Cotton,2021-06-28,RCH-2,0.44,Irrigated,581.5,15.9,28.8,21.2,38.6,174,6.08,101.6,43.7,70.2,Sandy Loam,41.6,1.55,-7.9,0.607,0.94
AGRI-00082,2019,Maharashtra,Pune,Kharif,Maize,2019-06-14,DHM-117,1.1,Drip Irrigated,489.7,22.9,34,28.2,49.6,101,7.05,160.5,65.6,70.5,Silty Loam,34.1,4.44,-8.5,0.521,3.1
AGRI-00083,2024,Punjab,Jalandhar,Kharif,Rice,2024-06-05,BPT-5204,23.79,Irrigated,1066.4,24.9,38.7,30.3,66.9,116,5.67,104.2,68.3,30.6,Clay,39.4,5.66,1.7,0.664,3.61
AGRI-00084,2023,Rajasthan,Jaipur,Kharif,Groundnut,2023-06-07,GG-20,9.36,Rainfed,936.5,21.5,36,27.9,64.6,115,6.5,103.9,33.9,58.4,Red Loam,19.4,2.48,-12.3,0.692,0.98
AGRI-00085,2025,Madhya Pradesh,Sagar,Kharif,Cotton,2025-06-22,RCH-2,0.79,Rainfed,704.4,18.7,31.1,26,63.1,167,7.36,162.9,80.1,79.8,Alluvial,28.5,2.08,-0.9,0.65,1.29
AGRI-00086,2023,Punjab,Jalandhar,Rabi,Wheat,2023-10-28,HD-2967,1.13,Drip Irrigated,662.2,15.6,33.3,24.4,67,140,6.78,119.4,8,51.7,Clay Loam,37.3,3.38,-4.5,0.801,2.51
AGRI-00087,2024,Gujarat,Junagadh,Rabi,Groundnut,2024-10-23,Kadiri-6,2.99,Rainfed,485.9,18.4,34,26.7,54.7,121,6.48,88.5,26.5,66.2,Sandy Loam,43.7,2.45,11.7,0.498,1.36
AGRI-00088,2021,Rajasthan,Bikaner,Kharif,Groundnut,2021-07-10,TG-37A,4.59,Rainfed,854.1,21.8,36.8,29.3,39.2,129,8.46,75,12.3,42.2,Loamy,38.1,2.44,4.4,0.624,0.6
AGRI-00089,2018,Maharashtra,Pune,Kharif,Groundnut,2018-07-13,Kadiri-6,6.27,Rainfed,832.5,18.5,35.8,25.5,77,124,6.25,145.2,65.3,48,Sandy Loam,17.6,2.05,5.4,0.576,0.94
AGRI-00090,2021,Karnataka,Mysuru,Rabi,Maize,2021-11-19,DHM-117,11.13,Irrigated,400,17.2,36.5,26.3,45.5,114,6.94,141.1,27.2,45.7,Loamy,32.5,4.73,-3.1,0.737,2.86
AGRI-00091,2020,Madhya Pradesh,Sagar,Kharif,Groundnut,2020-06-09,TG-37A,2.84,Irrigated,726,21.8,33.1,28,70.3,130,7,144.4,71.5,40.7,Red Loam,33.1,2.27,8.4,0.605,2.07
AGRI-00092,2020,Punjab,Ludhiana,Kharif,Soybean,2020-06-03,JS-335,16.58,Irrigated,359.5,11.8,30.9,20.6,75.8,104,6.48,100.8,79.5,12.4,Black,18.5,1.24,9.6,0.798,0.77
AGRI-00093,2024,Madhya Pradesh,Jabalpur,Kharif,Soybean,2024-06-12,JS-335,8.59,Irrigated,672.1,21.2,33.5,27.5,55.9,98,5.77,117.2,59.4,36.3,Black,28.7,2.24,8,0.785,1.4
AGRI-00094,2019,Punjab,Amritsar,Rabi,Maize,2019-10-29,P-3396,9.93,Rainfed,979,16.9,31.8,24.5,57.7,128,6.97,139.1,40.2,61.7,Silty Loam,26.4,4.08,0.6,0.824,3.16
AGRI-00095,2018,Punjab,Bathinda,Kharif,Cotton,2018-07-04,RCH-2,1.86,Irrigated,605.5,16.6,28.4,21.7,60.3,169,6.03,96.9,30,39.7,Black,44.4,2.74,7.8,0.425,1.35
AGRI-00096,2018,Punjab,Bathinda,Kharif,Soybean,2018-07-30,NRC-37,0.6,Rainfed,553.4,16.6,32.1,26.1,58.1,106,5.96,132.8,43.1,62.2,Sandy Loam,9,0.95,-3.5,0.487,0.51
AGRI-00097,2019,Rajasthan,Kota,Rabi,Maize,2019-11-30,P-3396,11.12,Rainfed,884,21.1,39.8,29.5,52.1,106,6.52,89.6,94.6,66.1,Sandy Loam,29,3.89,-2.7,0.606,2.59
AGRI-00098,2025,Madhya Pradesh,Bhopal,Kharif,Soybean,2025-06-24,JS-335,14.93,Rainfed,765.8,18.4,31.8,26.5,72.1,112,6.76,64.3,24,64.2,Black,51.3,2.08,-8.9,0.618,0.86
AGRI-00099,2018,Madhya Pradesh,Ujjain,Kharif,Rice,2018-07-27,Pusa-44,15.41,Drip Irrigated,778.9,19.3,34.6,26,79.9,119,6.29,79.6,59.8,80.1,Clay Loam,48.4,3.96,1.7,0.698,3.03
AGRI-00100,2024,Maharashtra,Jalgaon,Rabi,Groundnut,2024-11-21,Kadiri-6,0.66,Rainfed,539.1,21.2,38.4,28.9,50.1,109,6.8,46.8,57.3,88.9,Sandy Loam,17.2,1.61,8.7,0.68,1.14
AGRI-00101,2017,Punjab,Patiala,Kharif,Maize,2017-07-22,DHM-117,3.44,Rainfed,601.9,15.9,29.5,24.1,74.4,98,7.55,133,85.5,57.3,Loamy,32.7,5.83,5.6,0.581,3.05
AGRI-00102,2025,Madhya Pradesh,Ujjain,Rabi,Maize,2025-12-05,DHM-117,0.66,Irrigated,763.6,21.2,35.4,28.3,47.7,109,5.73,187.1,55.5,104.1,Silty Loam,42,3.84,2.4,0.675,4.03
AGRI-00103,2017,Rajasthan,Jodhpur,Kharif,Soybean,2017-06-25,NRC-86,1.45,Drip Irrigated,513.1,23.6,39.3,30.7,71.3,97,7.57,64.9,33.8,88.2,Sandy Loam,49.1,1.65,4.3,0.541,0.97
AGRI-00104,2022,Punjab,Amritsar,Kharif,Rice,2022-07-15,BPT-5204,15.72,Irrigated,1265.8,18.9,31.9,24.7,93.4,113,6.39,128.6,34.4,96.5,Clay Loam,44.2,3.98,2.1,0.738,3.05
AGRI-00105,2023,Karnataka,Belagavi,Kharif,Rice,2023-06-10,Swarna,7.73,Drip Irrigated,1365.8,17.1,33.1,24.2,87.3,149,6.04,92.9,70.7,78.5,Clay,43.8,5.19,9.8,0.611,3.55
AGRI-00106,2024,Madhya Pradesh,Indore,Rabi,Wheat,2024-11-01,GW-322,1.56,Drip Irrigated,262.5,17.5,32.8,25.7,64,149,6.74,66.1,29.6,86.4,Loamy,37.8,3.27,8,0.651,2.11
AGRI-00107,2017,Maharashtra,Nashik,Kharif,Soybean,2017-07-23,NRC-86,1.77,Rainfed,799.1,18.2,36,26.7,81.5,114,6.61,145.8,35.1,61.4,Sandy Loam,37.5,1.58,3,0.652,1.07
AGRI-00108,2023,Madhya Pradesh,Sagar,Kharif,Rice,2023-06-06,Swarna,2.53,Irrigated,1025.4,20.4,36.1,27.7,82.3,128,6.92,101.2,25.5,52.9,Clay Loam,39.8,4.65,0.3,0.696,2.96
AGRI-00109,2022,Maharashtra,Nagpur,Kharif,Rice,2022-06-14,BPT-5204,5.79,Rainfed,1112.5,24.1,37.2,29.5,80.5,138,5.88,76.9,23.7,72.7,Clay,38.6,5.03,2,0.537,2.31
AGRI-00110,2020,Punjab,Bathinda,Rabi,Wheat,2020-10-22,HD-2967,19.34,Irrigated,751.3,12.8,26.2,21,62.9,134,7.08,45.4,70.4,94.1,Clay Loam,41.7,2.43,4.8,0.673,2.17
AGRI-00111,2024,Rajasthan,Jaipur,Rabi,Maize,2024-10-27,P-3396,6.76,Rainfed,593.6,18.8,31.4,25.9,61.7,99,5.56,220,23.7,44.5,Sandy Loam,34.4,5.32,2.8,0.817,3.99
AGRI-00112,2019,Karnataka,Belagavi,Kharif,Cotton,2019-07-01,Bt-Cotton,0.56,Rainfed,872.1,21.1,39.1,29.5,64.3,151,6.28,125.1,60.9,72.1,Black,27.8,2.06,-9.1,0.528,1.2
AGRI-00113,2022,Madhya Pradesh,Sagar,Rabi,Wheat,2022-11-11,GW-322,1.14,Irrigated,496.2,8.2,25.7,15.6,59,142,6.52,112.2,33.5,66,Loamy,34.7,3.41,-4.4,0.77,2.07
