year,state,district,season,crop_type,seed_variety,area_sown_hectares,irrigation_type,rainfall_mm,temperature_min_c,temperature_max_c,temperature_avg_c,humidity_pct,growing_season_days,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_type,soil_moisture_pct,previous_yield_tonnes_ha,yield_trend_pct_yoy,ndvi,yield_tonnes_per_hectare,sowing_year,sowing_month,sowing_day,sowing_day_of_year,temperature_range_c,rainfall_per_day,total_npk_kg_ha,np_ratio,kn_ratio
2023,Punjab,Bathinda,Kharif,Rice,Pusa-44,15.56,Rainfed,1420.4,19.6,31.3,25.9,61.6,134,6.32,94.2,67.5,51.6,Silty Loam,29.7,4.25,-11.0,0.574,2.18,2023,7,16,197,11.7,10.600000000000001,213.29999999999998,1.3955555555555557,0.5477707006369427
2023,Karnataka,Dharwad,Kharif,Soybean,JS-335,0.7,Rainfed,726.0,15.8,30.1,23.9,71.2,106,5.46,129.0,55.1,71.0,Sandy Loam,30.0,1.76,11.9,0.469,0.82,2023,6,12,163,14.3,6.849056603773585,255.1,2.341197822141561,0.5503875968992248
2023,Madhya Pradesh,Jabalpur,Kharif,Cotton,Bt-Cotton,0.51,Rainfed,686.4,27.8,42.0,33.2,55.2,151,7.08,173.4,66.7,65.9,Alluvial,33.7,1.46,4.8,0.432,1.4,2023,6,25,176,14.2,4.54569536423841,306.0,2.5997001499250376,0.38004613610149945
2019,Punjab,Bathinda,Kharif,Cotton,RCH-2,1.51,Rainfed,515.0,13.5,30.7,22.6,71.4,171,5.45,147.0,63.4,42.0,Black,35.7,1.88,-3.0,0.707,0.98,2019,6,8,159,17.2,3.0116959064327484,252.4,2.3186119873817037,0.2857142857142857
2021,Gujarat,Kheda,Kharif,Soybean,NRC-37,1.65,Rainfed,925.3,17.9,33.7,24.4,56.8,110,6.83,157.9,51.5,47.3,Black,28.9,1.44,-1.4,0.512,0.98,2021,7,18,199,15.800000000000004,8.411818181818182,256.7,3.0660194174757285,0.29955668144395187
2022,Punjab,Ludhiana,Rabi,Wheat,GW-322,0.96,Rainfed,730.7,14.1,29.2,19.8,55.7,117,5.24,103.7,82.6,35.6,Clay Loam,33.6,4.17,-20.0,0.609,1.02,2022,12,9,343,15.1,6.245299145299145,221.9,1.25544794188862,0.343297974927676
2019,Gujarat,Banaskantha,Kharif,Rice,Swarna,11.05,Rainfed,1534.4,21.9,36.4,30.5,84.7,128,6.08,127.3,35.4,54.7,Clay,27.1,4.22,4.0,0.553,2.25,2019,7,19,200,14.5,11.9875,217.39999999999998,3.596045197740113,0.4296936370777691
2017,Karnataka,Mandya,Rabi,Wheat,HD-2967,1.0,Irrigated,501.0,5.4,21.0,14.6,65.1,139,7.01,74.6,20.4,32.1,Clay Loam,43.8,4.02,0.3,0.609,1.8,2017,10,27,300,15.6,3.6043165467625897,127.1,3.656862745098039,0.4302949061662199
2019,Karnataka,Kalaburagi,Kharif,Soybean,JS-335,5.22,Irrigated,655.7,18.9,35.8,25.7,63.0,93,6.84,61.2,35.4,72.4,Black,47.3,1.63,-5.1,0.639,0.96,2019,7,2,183,16.9,7.050537634408602,169.0,1.728813559322034,1.1830065359477124
2019,Punjab,Ludhiana,Kharif,Cotton,RCH-2,4.76,Drip Irrigated,939.1,22.0,35.6,30.0,70.4,186,6.95,124.7,41.4,58.9,Black,41.0,1.86,7.5,0.749,1.86,2019,6,27,178,13.600000000000001,5.048924731182796,225.0,3.0120772946859904,0.4723336006415397
2017,Karnataka,Kalaburagi,Kharif,Soybean,NRC-37,0.52,Drip Irrigated,507.7,17.3,33.0,25.1,46.8,112,5.59,104.6,66.7,29.5,Black,44.9,1.42,-3.6,0.688,0.68,2017,7,2,183,15.7,4.533035714285714,200.8,1.5682158920539728,0.2820267686424474
2018,Madhya Pradesh,Ujjain,Kharif,Cotton,Bunny-Bt,5.72,Irrigated,635.1,18.3,33.1,26.2,68.3,168,6.66,89.9,48.1,50.0,Alluvial,22.1,1.88,10.9,0.604,1.46,2018,7,25,206,14.8,3.780357142857143,188.0,1.8690228690228692,0.5561735261401557
2025,Gujarat,Ahmedabad,Kharif,Cotton,Bt-Cotton,2.54,Rainfed,454.3,27.6,42.9,33.2,49.5,181,7.93,91.5,32.3,56.7,Black,25.0,2.29,8.0,0.756,1.39,2025,6,23,174,15.299999999999997,2.5099447513812154,180.5,2.8328173374613006,0.619672131147541
2018,Punjab,Ludhiana,Kharif,Soybean,JS-335,9.78,Irrigated,1289.2,14.1,28.9,21.8,66.0,107,7.77,179.6,30.9,49.1,Loamy,31.1,1.57,0.7,0.5,0.63,2018,6,28,179,14.799999999999999,12.048598130841121,259.6,5.8122977346278315,0.2733853006681515
2025,Madhya Pradesh,Jabalpur,Kharif,Cotton,RCH-2,9.49,Drip Irrigated,691.1,19.2,36.0,27.3,61.8,161,6.26,67.5,52.7,62.7,Sandy Loam,44.5,1.45,-15.8,0.685,1.17,2025,7,10,191,16.8,4.292546583850932,182.9,1.2808349146110056,0.928888888888889
2019,Maharashtra,Nashik,Rabi,Maize,P-3396,0.42,Rainfed,1195.0,19.2,34.3,26.2,65.5,96,6.7,109.0,37.4,79.8,Sandy Loam,16.2,5.47,-1.3,0.61,1.21,2019,11,14,318,15.099999999999998,12.447916666666666,226.2,2.914438502673797,0.7321100917431193
2022,Punjab,Jalandhar,Rabi,Groundnut,GG-20,4.38,Irrigated,477.5,18.0,35.9,26.0,66.2,107,6.41,117.7,52.9,46.7,Loamy,55.2,2.02,1.6,0.65,1.33,2022,10,22,295,17.9,4.462616822429907,217.3,2.224952741020794,0.39677145284621923
2017,Madhya Pradesh,Ujjain,Kharif,Cotton,Bt-Cotton,15.75,Irrigated,590.3,16.8,31.8,24.5,55.8,187,7.03,41.3,57.8,45.8,Sandy Loam,35.8,2.53,9.6,0.776,1.41,2017,6,4,155,15.0,3.1566844919786092,144.89999999999998,0.7145328719723183,1.1089588377723971
2017,Karnataka,Belagavi,Kharif,Groundnut,TG-37A,0.69,Irrigated,549.8,17.1,31.4,22.5,54.9,130,6.18,132.7,79.8,53.9,Sandy Loam,46.6,2.14,-1.9,0.479,1.56,2017,6,9,160,14.299999999999997,4.229230769230769,266.4,1.662907268170426,0.40617935192162774
2021,Punjab,Bathinda,Kharif,Cotton,Bunny-Bt,0.74,Irrigated,651.3,23.4,36.4,29.2,59.0,155,6.89,65.0,63.9,53.0,Black,46.8,2.38,13.2,0.669,1.46,2021,6,29,180,13.0,4.201935483870967,181.9,1.0172143974960877,0.8153846153846154
2025,Rajasthan,Udaipur,Kharif,Groundnut,Kadiri-6,0.53,Irrigated,696.8,17.9,31.0,24.0,44.3,113,6.62,129.4,77.5,57.8,Red Loam,30.5,3.01,14.4,0.686,2.12,2025,7,12,193,13.100000000000001,6.166371681415929,264.7,1.6696774193548387,0.44667697063369394
2017,Punjab,Amritsar,Kharif,Groundnut,TG-37A,0.44,Irrigated,660.6,16.1,34.0,24.5,47.9,126,7.48,42.7,75.6,41.1,Red Loam,22.5,2.55,5.8,0.907,1.7,2017,7,12,193,17.9,5.242857142857143,159.4,0.5648148148148149,0.9625292740046838
2019,Karnataka,Dharwad,Kharif,Rice,BPT-5204,7.72,Irrigated,1111.5,21.0,33.4,28.0,79.3,134,7.59,140.0,64.4,61.9,Clay Loam,44.9,4.31,-7.9,0.555,2.05,2019,6,10,161,12.399999999999999,8.294776119402986,266.3,2.1739130434782608,0.4421428571428571
2023,Karnataka,Belagavi,Kharif,Cotton,Bunny-Bt,5.12,Irrigated,484.6,18.7,37.3,27.9,62.6,154,6.49,86.8,39.3,44.9,Alluvial,31.5,1.97,-7.6,0.821,1.51,2023,6,27,178,18.599999999999998,3.146753246753247,171.0,2.208651399491094,0.5172811059907834
2018,Gujarat,Banaskantha,Rabi,Wheat,GW-322,0.81,Drip Irrigated,886.1,15.4,29.5,22.3,43.5,140,7.11,168.3,24.2,62.4,Clay Loam,42.7,3.73,-6.3,0.581,1.68,2018,11,8,312,14.1,6.329285714285715,254.9,6.954545454545455,0.3707664884135472
2021,Karnataka,Belagavi,Kharif,Rice,Pusa-44,10.3,Irrigated,1038.5,23.0,34.8,28.8,61.0,122,6.57,176.4,49.6,72.2,Silty Loam,32.9,4.17,6.5,0.846,3.56,2021,6,28,179,11.799999999999997,8.512295081967213,298.2,3.556451612903226,0.40929705215419504
2017,Karnataka,Belagavi,Kharif,Rice,Swarna,5.28,Irrigated,1178.5,18.9,34.1,28.0,91.3,146,5.45,107.7,47.5,69.6,Silty Loam,31.6,5.16,-1.2,0.529,2.9,2017,7,24,205,15.200000000000003,8.071917808219178,224.79999999999998,2.2673684210526317,0.6462395543175486
2017,Karnataka,Mandya,Kharif,Soybean,NRC-86,2.66,Irrigated,915.9,16.8,30.6,22.6,69.0,93,6.26,122.0,79.4,87.4,Black,51.1,2.12,-11.4,0.703,1.11,2017,6,14,165,13.8,9.848387096774193,288.8,1.5365239294710327,0.7163934426229509
2024,Madhya Pradesh,Indore,Kharif,Cotton,Bunny-Bt,11.84,Rainfed,612.7,20.7,36.8,29.5,75.3,190,7.26,121.5,46.5,58.4,Alluvial,38.3,2.32,-3.4,0.452,1.07,2024,7,10,192,16.099999999999998,3.2247368421052633,226.4,2.6129032258064515,0.48065843621399174
2025,Rajasthan,Jodhpur,Kharif,Groundnut,Kadiri-6,6.6,Irrigated,726.1,23.9,36.5,30.5,63.1,118,8.05,120.7,48.2,76.4,Loamy,36.9,2.7,11.0,0.725,1.43,2025,7,8,189,12.600000000000001,6.153389830508475,245.3,2.504149377593361,0.6329743164871583
2017,Rajasthan,Kota,Rabi,Groundnut,TG-37A,2.07,Irrigated,561.6,20.3,35.7,25.4,59.4,121,7.2,99.6,39.2,45.9,Red Loam,31.1,2.11,10.2,0.726,1.9,2017,12,5,339,15.400000000000002,4.641322314049587,184.70000000000002,2.540816326530612,0.4608433734939759
2025,Punjab,Bathinda,Kharif,Rice,BPT-5204,1.22,Rainfed,1068.2,24.4,38.1,30.9,79.8,110,5.62,135.6,68.5,29.1,Clay,36.4,4.04,-5.0,0.585,2.81,2025,6,12,163,13.700000000000003,9.710909090909091,233.2,1.9795620437956203,0.21460176991150445
2020,Punjab,Jalandhar,Kharif,Groundnut,TG-37A,4.14,Irrigated,745.5,21.3,38.2,28.0,63.6,105,6.4,71.8,41.4,33.1,Loamy,32.5,1.35,6.0,0.679,1.56,2020,6,3,155,16.900000000000002,7.1,146.29999999999998,1.7342995169082125,0.46100278551532037
2019,Madhya Pradesh,Jabalpur,Kharif,Groundnut,Kadiri-6,1.85,Rainfed,1036.4,18.0,32.7,25.8,51.1,120,5.79,107.7,67.3,30.1,Sandy Loam,30.2,1.99,1.2,0.369,0.83,2019,7,20,201,14.700000000000003,8.636666666666667,205.1,1.6002971768202081,0.27948003714020425
2021,Madhya Pradesh,Bhopal,Kharif,Soybean,JS-335,21.97,Rainfed,894.2,19.6,30.9,25.4,75.1,98,7.64,198.1,69.7,78.7,Sandy Loam,29.9,1.36,6.8,0.817,1.18,2021,7,7,188,11.299999999999997,9.124489795918368,346.5,2.8421807747489236,0.39727410398788493
2017,Maharashtra,Nashik,Rabi,Wheat,HD-2967,7.13,Irrigated,255.6,14.9,30.5,20.1,57.3,132,6.49,107.8,26.2,72.9,Loamy,31.9,2.22,-4.2,0.8,1.98,2017,11,1,305,15.6,1.9363636363636363,206.9,4.114503816793893,0.676252319109462
2017,Karnataka,Kalaburagi,Rabi,Groundnut,Kadiri-6,1.16,Irrigated,764.2,20.8,38.2,28.0,51.5,106,7.08,158.0,67.4,58.7,Red Loam,39.4,2.66,6.1,0.547,1.83,2017,11,3,307,17.400000000000002,7.209433962264152,284.1,2.344213649851632,0.3715189873417722
2024,Maharashtra,Nashik,Kharif,Rice,Pusa-44,14.54,Irrigated,1567.1,19.8,34.3,28.4,67.8,138,7.11,94.0,55.2,36.6,Silty Loam,34.2,3.73,4.6,0.54,2.55,2024,6,17,169,14.499999999999996,11.355797101449275,185.79999999999998,1.7028985507246377,0.3893617021276596
2019,Rajasthan,Bikaner,Kharif,Soybean,NRC-86,0.41,Irrigated,772.9,16.8,33.8,25.9,70.1,122,6.89,66.1,93.0,39.9,Sandy Loam,37.8,1.6,4.8,0.817,1.42,2019,7,13,194,16.999999999999996,6.335245901639344,199.0,0.710752688172043,0.6036308623298033
2023,Rajasthan,Bikaner,Rabi,Wheat,GW-322,6.64,Drip Irrigated,208.4,11.3,28.4,19.3,66.2,134,5.75,157.3,28.0,84.6,Clay Loam,47.9,3.72,-3.0,0.631,2.03,2023,11,6,310,17.099999999999998,1.5552238805970149,269.9,5.617857142857143,0.5378258105530832
2022,Gujarat,Junagadh,Rabi,Maize,P-3396,0.54,Rainfed,548.8,17.8,33.2,23.9,72.8,120,7.26,77.4,32.1,70.1,Silty Loam,31.1,4.14,-1.3,0.72,2.68,2022,11,23,327,15.400000000000002,4.573333333333333,179.6,2.411214953271028,0.9056847545219637
2020,Maharashtra,Nagpur,Kharif,Soybean,JS-335,2.26,Drip Irrigated,827.4,23.0,36.0,28.9,74.1,113,6.2,90.4,48.4,96.1,Sandy Loam,45.4,1.73,14.1,0.669,1.51,2020,7,27,209,13.0,7.322123893805309,234.9,1.8677685950413225,1.0630530973451326
2025,Punjab,Amritsar,Rabi,Wheat,GW-322,0.74,Irrigated,549.3,15.3,32.3,23.8,71.5,125,6.64,57.9,71.9,104.2,Loamy,43.4,3.94,9.0,0.547,2.52,2025,10,28,301,16.999999999999996,4.394399999999999,234.0,0.8052851182197496,1.7996545768566494
2023,Punjab,Ludhiana,Kharif,Rice,Pusa-44,18.56,Irrigated,1396.3,16.6,32.9,22.8,60.4,114,6.26,25.6,24.3,76.5,Clay,41.6,3.8,-3.1,0.787,2.18,2023,7,16,197,16.299999999999997,12.248245614035087,126.4,1.0534979423868314,2.98828125
2024,Punjab,Ludhiana,Kharif,Cotton,Bunny-Bt,3.97,Rainfed,815.5,22.1,39.0,29.5,54.3,165,7.46,67.4,70.3,52.8,Black,28.1,2.03,-7.8,0.584,1.14,2024,6,6,158,16.9,4.942424242424242,190.5,0.9587482219061167,0.7833827893175073
2023,Madhya Pradesh,Jabalpur,Rabi,Wheat,HD-3086,1.18,Rainfed,547.4,7.7,21.6,16.3,54.1,141,7.08,63.3,91.4,16.6,Clay Loam,32.7,2.42,7.5,0.567,1.71,2023,11,12,316,13.900000000000002,3.882269503546099,171.29999999999998,0.6925601750547046,0.26224328593996843
2023,Karnataka,Belagavi,Kharif,Rice,Swarna,1.54,Irrigated,1272.1,28.1,39.9,33.4,83.0,126,6.48,155.1,64.4,78.8,Silty Loam,36.4,3.23,1.7,0.754,2.88,2023,6,10,161,11.799999999999997,10.096031746031745,298.3,2.4083850931677016,0.5080593165699548
2021,Gujarat,Ahmedabad,Rabi,Maize,DHM-117,5.12,Irrigated,542.1,14.5,29.2,23.2,59.9,102,6.49,117.0,67.7,90.3,Sandy Loam,30.1,4.12,6.2,0.58,3.71,2021,10,31,304,14.7,5.314705882352942,275.0,1.72821270310192,0.7717948717948717
2021,Rajasthan,Kota,Kharif,Rice,Swarna,8.83,Rainfed,1336.0,19.5,36.5,26.3,57.5,131,6.4,72.1,66.1,29.2,Clay,30.4,4.05,1.6,0.567,1.93,2021,6,25,176,17.0,10.198473282442748,167.39999999999998,1.0907715582450832,0.40499306518724
2024,Madhya Pradesh,Jabalpur,Kharif,Maize,HQPM-1,14.98,Irrigated,613.0,15.3,33.3,23.8,59.5,112,7.25,139.7,23.6,40.5,Loamy,36.2,3.87,7.9,0.649,3.42,2024,6,24,176,17.999999999999996,5.473214285714286,203.79999999999998,5.919491525423728,0.2899069434502506
2024,Karnataka,Dharwad,Rabi,Wheat,HD-2967,21.12,Rainfed,349.8,14.3,28.9,21.7,54.7,116,5.87,25.0,40.7,72.8,Loamy,16.7,3.42,3.1,0.64,1.51,2024,11,18,323,14.599999999999998,3.0155172413793103,138.5,0.6142506142506142,2.912
2020,Gujarat,Surat,Rabi,Wheat,HD-3086,1.0,Drip Irrigated,611.1,10.6,30.1,19.7,55.9,139,6.13,163.3,49.1,62.1,Loamy,21.6,3.98,-0.1,0.868,3.24,2020,11,30,335,19.5,4.396402877697842,274.5,3.3258655804480655,0.38028169014084506
2019,Gujarat,Kheda,Kharif,Groundnut,TG-37A,5.47,Irrigated,603.9,21.9,35.6,27.3,55.5,122,8.16,71.8,16.6,62.7,Sandy Loam,37.4,2.48,-9.6,0.682,0.92,2019,6,22,173,13.700000000000003,4.95,151.10000000000002,4.325301204819277,0.8732590529247911
2020,Gujarat,Kheda,Rabi,Wheat,HD-3086,1.37,Irrigated,511.7,8.3,26.3,17.0,63.6,142,6.83,101.3,54.3,62.3,Loamy,48.6,5.2,4.9,0.654,2.63,2020,12,8,343,18.0,3.603521126760563,217.89999999999998,1.865561694290976,0.6150049358341559
2018,Madhya Pradesh,Ujjain,Kharif,Soybean,JS-335,7.52,Drip Irrigated,772.5,18.6,34.4,24.6,76.2,96,6.95,105.9,38.9,77.5,Sandy Loam,45.6,1.5,2.8,0.93,1.69,2018,6,16,167,15.799999999999997,8.046875,222.3,2.7223650385604117,0.7318224740321058
2018,Punjab,Ludhiana,Kharif,Rice,Swarna,18.63,Irrigated,1541.9,22.4,35.6,28.6,72.3,150,5.07,82.3,63.4,74.3,Silty Loam,40.6,4.08,-0.3,0.696,2.42,2018,6,17,168,13.200000000000003,10.279333333333334,220.0,1.2981072555205047,0.9027946537059538
2024,Gujarat,Junagadh,Rabi,Wheat,GW-322,2.33,Irrigated,584.2,15.7,26.8,21.3,51.6,132,7.72,116.2,84.6,55.6,Loamy,52.9,3.79,-12.5,0.584,1.76,2024,11,3,308,11.100000000000001,4.425757575757576,256.40000000000003,1.3735224586288417,0.4784853700516351
2021,Karnataka,Kalaburagi,Kharif,Soybean,NRC-37,2.04,Irrigated,883.0,16.4,31.9,23.5,77.9,105,7.33,136.1,69.0,99.1,Loamy,48.5,1.93,11.7,0.778,1.55,2021,6,4,155,15.5,8.40952380952381,304.2,1.972463768115942,0.7281410727406319
2018,Rajasthan,Jodhpur,Kharif,Groundnut,TG-37A,0.96,Rainfed,425.6,15.7,27.5,21.0,43.8,117,6.85,149.2,66.0,15.1,Sandy Loam,17.9,2.33,12.1,0.677,1.17,2018,6,21,172,11.8,3.637606837606838,230.29999999999998,2.2606060606060603,0.1012064343163539
2024,Gujarat,Banaskantha,Kharif,Soybean,JS-335,0.97,Rainfed,657.4,20.3,33.6,25.9,76.2,123,7.29,101.4,84.7,58.8,Loamy,29.5,1.64,3.2,0.56,1.13,2024,6,21,173,13.3,5.3447154471544716,244.90000000000003,1.1971664698937428,0.5798816568047337
2025,Punjab,Patiala,Kharif,Groundnut,Kadiri-6,3.18,Rainfed,542.0,16.9,32.2,23.8,73.5,139,7.0,87.0,46.8,69.3,Sandy Loam,29.3,2.46,3.3,0.733,1.39,2025,7,18,199,15.300000000000004,3.8992805755395685,203.10000000000002,1.858974358974359,0.796551724137931
2018,Karnataka,Kalaburagi,Rabi,Wheat,HD-3086,3.71,Irrigated,844.7,7.8,24.6,16.8,49.9,132,7.05,75.0,25.8,45.7,Clay Loam,24.3,2.98,9.3,0.699,1.78,2018,11,17,321,16.8,6.399242424242424,146.5,2.9069767441860463,0.6093333333333334
2018,Punjab,Bathinda,Rabi,Wheat,GW-322,12.19,Irrigated,612.6,11.1,23.1,17.2,58.2,134,7.63,141.3,51.8,71.2,Clay Loam,43.4,3.53,1.2,0.533,2.39,2018,12,11,345,12.000000000000002,4.571641791044776,264.3,2.727799227799228,0.5038924274593064
2025,Karnataka,Mandya,Rabi,Maize,HQPM-1,0.99,Irrigated,897.0,15.8,30.1,25.0,73.2,115,7.02,85.0,59.4,15.7,Silty Loam,39.8,4.36,-6.4,0.682,3.2,2025,11,30,334,14.3,7.8,160.1,1.430976430976431,0.18470588235294116
2019,Karnataka,Belagavi,Kharif,Cotton,Bunny-Bt,19.14,Irrigated,808.9,16.9,34.4,26.0,73.0,190,7.8,158.1,64.3,45.8,Alluvial,41.6,1.69,-1.1,0.616,1.45,2019,6,2,153,17.5,4.2573684210526315,268.2,2.458786936236392,0.28969006957621757
2018,Karnataka,Belagavi,Kharif,Soybean,NRC-86,14.56,Drip Irrigated,693.7,18.0,30.7,23.9,83.5,105,6.75,130.1,60.6,70.9,Loamy,51.6,1.5,-4.7,0.644,1.04,2018,7,28,209,12.7,6.606666666666667,261.6,2.1468646864686467,0.5449654112221369
2021,Rajasthan,Kota,Rabi,Wheat,HD-3086,3.75,Rainfed,549.3,16.9,34.1,24.1,84.5,148,8.03,73.1,65.7,78.6,Loamy,26.2,3.15,-3.7,0.629,0.94,2021,10,19,292,17.200000000000003,3.711486486486486,217.4,1.1126331811263317,1.0752393980848154
2022,Madhya Pradesh,Bhopal,Kharif,Cotton,Bunny-Bt,1.58,Irrigated,908.5,16.9,33.6,26.2,52.2,189,7.05,152.5,52.0,23.3,Alluvial,31.6,2.23,1.3,0.516,1.61,2022,6,11,162,16.700000000000003,4.806878306878307,227.8,2.9326923076923075,0.15278688524590164
2021,Gujarat,Kheda,Kharif,Rice,BPT-5204,20.6,Rainfed,936.5,18.7,35.7,25.8,63.0,117,6.52,62.0,54.1,23.3,Silty Loam,39.8,4.1,-2.5,0.685,2.51,2021,6,9,160,17.000000000000004,8.004273504273504,139.4,1.146025878003697,0.3758064516129032
2021,Madhya Pradesh,Jabalpur,Kharif,Cotton,RCH-2,0.44,Irrigated,581.5,15.9,28.8,21.2,38.6,174,6.08,101.6,43.7,70.2,Sandy Loam,41.6,1.55,-7.9,0.607,0.94,2021,6,28,179,12.9,3.3419540229885056,215.5,2.3249427917620133,0.6909448818897639
2019,Maharashtra,Pune,Kharif,Maize,DHM-117,1.1,Drip Irrigated,489.7,22.9,34.0,28.2,49.6,101,7.05,160.5,65.6,70.5,Silty Loam,34.1,4.44,-8.5,0.521,3.1,2019,6,14,165,11.100000000000001,4.848514851485149,296.6,2.4466463414634148,0.4392523364485981
2024,Punjab,Jalandhar,Kharif,Rice,BPT-5204,23.79,Irrigated,1066.4,24.9,38.7,30.3,66.9,116,5.67,104.2,68.3,30.6,Clay,39.4,5.66,1.7,0.664,3.61,2024,6,5,157,13.800000000000004,9.193103448275863,203.1,1.5256222547584188,0.29366602687140114
2023,Rajasthan,Jaipur,Kharif,Groundnut,GG-20,9.36,Rainfed,936.5,21.5,36.0,27.9,64.6,115,6.5,103.9,33.9,58.4,Red Loam,19.4,2.48,-12.3,0.692,0.98,2023,6,7,158,14.5,8.143478260869566,196.20000000000002,3.064896755162242,0.5620789220404234
2025,Madhya Pradesh,Sagar,Kharif,Cotton,RCH-2,0.79,Rainfed,704.4,18.7,31.1,26.0,63.1,167,7.36,162.9,80.1,79.8,Alluvial,28.5,2.08,-0.9,0.65,1.29,2025,6,22,173,12.400000000000002,4.217964071856287,322.8,2.0337078651685396,0.4898710865561694
2023,Punjab,Jalandhar,Rabi,Wheat,HD-2967,1.13,Drip Irrigated,662.2,15.6,33.3,24.4,67.0,140,6.78,119.4,8.0,51.7,Clay Loam,37.3,3.38,-4.5,0.801,2.51,2023,10,28,301,17.699999999999996,4.73,179.10000000000002,14.925,0.43299832495812396
2024,Gujarat,Junagadh,Rabi,Groundnut,Kadiri-6,2.99,Rainfed,485.9,18.4,34.0,26.7,54.7,121,6.48,88.5,26.5,66.2,Sandy Loam,43.7,2.45,11.7,0.498,1.36,2024,10,23,297,15.600000000000001,4.0157024793388425,181.2,3.339622641509434,0.7480225988700565
2021,Rajasthan,Bikaner,Kharif,Groundnut,TG-37A,4.59,Rainfed,854.1,21.8,36.8,29.3,39.2,129,8.46,75.0,12.3,42.2,Loamy,38.1,2.44,4.4,0.624,0.6,2021,7,10,191,14.999999999999996,6.620930232558139,129.5,6.097560975609756,0.5626666666666668
